,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.13656856980604792,0.32900402785257066,0.22648124096190825,0.2748209149575923,0.471214269732936,R
1,0.726817359574766,0.5698895175085321,0.45132120922883234,0.44740599669720205,0.7614282300682058,M
2,0.5467645624261597,0.4996528000075702,0.8012036074446991,0.5863583559034244,0.41507442955536855,M
3,0.11922860373043706,0.40226826294291507,0.4073137581395129,0.20889473729294683,0.22073667640392122,R
4,0.7781758682974997,0.9771312940700994,0.7525687003618824,0.8356485396572146,0.6944499441980612,M
5,0.73473710383818,0.546708619120546,0.9711886161615844,0.5698280540101414,0.7259490929865251,M
6,0.5082824183096091,0.4172620516391185,0.42289068344958,0.13916700553832198,0.32548180495228474,R
7,0.506655497964683,0.45198095440080754,0.6641221566495963,0.8881397737737182,0.4791029640628611,M
8,0.2958355544887213,0.42988525454043586,0.3717789301560241,0.18463729585616354,0.17524990653675918,R
9,0.5793828584334771,0.9250998001897648,0.5683291915386757,0.5123294597956478,0.8070149433986321,M
10,0.9054789049148633,0.777000640586448,0.9041507696506996,0.8902078006711187,0.7093695411477059,M
11,0.11473303141837943,0.5056399638903863,0.29761150456360475,0.4297483033540892,0.3264688342816709,R
12,0.558350895110696,0.15750845531247107,0.013514337562910893,0.3810117557161844,0.054178755320104716,R
13,0.8016729495651963,0.9348983696504003,0.7306996125032642,0.43924379673407876,0.5987264020745412,M
14,0.3937716025363826,0.43745351669762556,0.10032832452014225,0.2381417131930372,0.2692219779269414,R
15,0.8001125979686323,0.4473076432411455,0.5566070535374257,0.855727440676823,0.8693621807560972,M
16,0.32358712150365565,0.5238999727586954,0.08428975702058097,0.03474360137041661,0.3506329597924989,R
17,0.5123038122548693,0.8470018640004748,0.8697644288444688,0.6005090687659669,0.9920862695936761,M
18,0.7541134207846177,0.8498914858720468,0.8179342766287152,0.8428826552230533,0.722137194657237,M
19,0.13817961681369995,0.38573987993530656,0.5013923864157911,0.16076482898983677,0.38832793510784225,R
20,0.9158009370276687,0.5555279041002658,0.680276725772345,0.4471832345320809,0.5151192490877788,M
21,0.8500373287769629,0.6165070306774376,0.5192741261383902,0.7481980538678853,0.9224019468616345,M
22,0.6872718896241592,0.4501393506977432,0.5854394728952735,0.6346896394080637,0.6197923070019391,M
23,0.45119201778405327,0.5686883648483904,0.42903183009067103,0.3842743045323412,0.0787484255126361,R
24,0.9350314647205904,0.45793074428350206,0.9487117780391943,0.9416030136243412,0.9469742443058939,M
25,0.513662973082605,0.0020021830927963013,0.2509952195951648,0.14366215688186262,0.21476302576184017,R
26,0.7780591819174367,0.7621642109643612,0.722923886422562,0.5747563189135055,0.7718626341552681,M
27,0.24553603933151874,0.35891485236859366,0.0246877187092262,0.032499926168537245,0.41617740869070874,R
28,0.17931840582861575,0.04754959267097862,0.4520305610124248,0.397417347583712,0.31249256649023766,R
29,0.3420556463765587,0.014805891931116992,0.34665173749259626,0.1373083645702401,0.20295705385117718,R
30,0.1390156313090996,0.5014278826671772,0.2967406872299068,0.4784275312996874,0.04975878379434747,R
31,0.9822893653494398,0.5559938889689968,0.9445731897616276,0.42128116290085216,0.6939709202460428,M
32,0.4703732068759557,0.45233040619911197,0.42059905926185565,0.8566739400848633,0.939946297552795,M
33,0.674494803637218,0.8410901820295945,0.4650022212699132,0.6669566543464742,0.945891884376256,M
34,0.9954193638014428,0.9873655267735486,0.6871336152437214,0.4138742013764592,0.5954534585377149,M
35,0.14575430404737,0.05385169280605446,0.05600105641057741,0.07513891348059269,0.2828456789542508,R
36,0.5793416060786996,0.5245662756518188,0.547303231049826,0.4427209816214237,0.8333008762255885,M
37,0.49461288121404584,0.5736192987259295,0.08446484809657766,0.5016051094053511,0.45363638844833776,R
38,0.6259720904757613,0.7362072076384218,0.7195600065607384,0.6821371939840419,0.480621411062474,M
39,0.19790699910187934,0.43692022292222576,0.4263394549779316,0.5597239583923789,0.4242174466741857,R
40,0.12372651439976796,0.4076229113414231,0.34714004578033725,0.33973781674909753,0.42346137918313215,R
41,0.1349039394906012,0.3448178998692067,0.46072569195687363,0.13919662045843015,0.38947371136577086,R
42,0.614735494691641,0.637642197288866,0.608564937036445,0.9216766042596773,0.8176922966210263,M
43,0.4891696115582215,0.9714453189545591,0.9532337199967256,0.6361093142218281,0.8742582321014865,M
44,0.027990833382079153,0.24548606285473235,0.3546774656273718,0.056566233757250194,0.517978348485366,R
45,0.3718301100770231,0.09023466509365886,0.09841584745196569,0.06513047270545183,0.5650956898281375,R
46,0.4387827453348539,0.5458674303189017,0.49743600322636317,0.48501444094485985,0.099184818687956,R
47,0.3728581252829614,0.040840521182234156,0.47922136380804253,0.5465796684513173,0.3335165779848683,R
